,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
86,BMW,C 650 GT 2020,12.821 €,A/A2,Scooter,2019,https://www.bmw-motorrad.es,647 cc,60 cv,780 mm
87,BMW,C 650 Sport 2020,13.135 €,A/A2,Scooter,2020,https://www.bmw-motorrad.es,647 cc,60 cv,810 mm
88,BMW,G 310 GS 2020,6.200 €,A2,Trail,2019,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm
89,BMW,G 310 R 2020,5.350 €,A2,Naked,2019,https://www.bmw-motorrad.es,313 cc,34 cv,785 mm
90,BMW,S 1000 RR 2019,21.250 €,A,Deportiva,2019,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm
91,BMW,R 1250 R HP 2019,14.800 €,A,Deportiva,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm
92,BMW,R 1250 R 2019,14.800 €,A,Deportiva,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm
93,BMW,R 1250 RS 2019,15.650 €,A,Deportiva,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm
94,BMW,BMW R 1250 GS Adventure 2019,19.950 €,A,Trail,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,952 mm
95,BMW,F 850 GS Adventure 2019,13.200 €,A/A2,Trail,2019,https://www.bmw-motorrad.es,853 cc,95 cv,875 mm
96,BMW,C 400 GT 2019,8.606 €,A2,Scooter,2019,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm
97,BMW,BMW R 1250 GS 2019,18.200 €,A,Trail,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,850 mm
98,BMW,BMW R 1250 GS HP 2019,18.200 €,A,Trail,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,850 mm
99,BMW,R 1250 RT 2019,20.050 €,A,Touring,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,805 mm
100,BMW,R Nine T Racer 2018,14.400 €,A / A2,Deportiva,2017,https://www.bmw-motorrad.es,1.170 cc,110 cv,1.105 mm
