,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento,URL imágenes,URL logos
58,BMW,BMW R 1250 GS 2021,18.350 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,850 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-gs-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
59,BMW,S 1000 XR 2021,18.800 €,A,Touring,2021,https://www.bmw-motorrad.es,999 cc,165 cv,840 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-xr-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
60,BMW,S 1000 RR 2021,21.350 €,A,Deportiva,2021,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-rr-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
61,BMW,K 1600 B 2021,28.600 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-b-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
62,BMW,R 1250 RS 2021,15.650 €,A,Deportiva,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-rs-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
63,BMW,R 1250 R 2021,14.900 €,A,Naked,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-r-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
64,BMW,K 1600 GTL 2021,28.200 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gtl-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
65,BMW,K 1600 GT 2021,27.300 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gt-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
66,BMW,F 850 GS Adventure 40 Aniversario,13.350 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,875 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-850-gs-adventure-40-aniversario.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
67,BMW,F 850 GS Adventure 2021,13.350 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,875 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-850-gs-adventure-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
68,BMW,F 850 GS 40 Aniversario,12.100 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-850-gs-40-aniversario.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
69,BMW,F 850 GS 2021,12.100 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-850-gs-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
70,BMW,F 750 GS 40 Aniversario,9.650 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,77 cv,815 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-750-gs-40-aniversario.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
71,BMW,F 750 GS 2021,9.650 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,77 cv,815 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-f-750-gs-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
