,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Alimentación,Arranque,Carrera,Ciclo,Cilindrada,Combustible,Diámetro,Disposición,Distribución,Encendido,Número de cilindros,Número de válvulas por cilindro,Par Máximo Declarado,Potencia Máxima Declarada,Refrigeración,Régimen de par máximo,Regimen de potencia máxima,Embrague,Secundaria,Tipo,Tipo de accionamiento,Material,Basculante,Delantera barra,Delantera recorrido,Delantera tipo,Trasera recorrido,Trasera tipo,Delantera,Delantera llanta,Trasera,Trasera llanta,Asistencia a la frenada,Delantero diámetro,Delantero número de discos,Delantero pinza número de pistones,Delantero tipo,Trasero diámetro,Trasero pinza número de pistones,Trasero tipo,Altura asiento,Capacidad depósito,Distancia entre ejes,Longitud total,Número de velocidades,Avance,Lanzamiento,Delantera marca,Delantero marca pinza,Delantero pinza,Trasero marca pinza,Peso en seco declarado,Trasera marca,Delantero marca bomba,Tipo de motor eléctrico,Velocidad máxima carretera,Autonomía en ciudad,Tipo de batería,Capacidad,Tiempo de carga 100% (enchufe convencional),Tiempo de carga 80% (enchufe convencional),Tiempo de carga 100% (enchufe rápido),Tiempo de carga 80% (enchufe rápido),Distancia mínima al suelo,Autonomía en carretera
33,Aprilia,Mana 850 GT,11.111 €,A/A2,Trail,2016,www.aprilia.com,Inyección electrónica Weber Marelli,Automático,"69,00 mm",4T,839 cc,Gasolina sin plomo 95/98,"88,00 mm",En V a 90º,SOHC,Electrónico CDI,2,4,73 nm,76 cv,Líquida,5.000 rpm,8.000 rpm,Automático,Cadena,Multitubular,Automático,,Doble brazo de aluminio,43 mm,120 mm,Horquilla telescópica invertida,125 mm,Amortiguador,120/70-17,"3,50-17""",180/55-17,"6-17""",ABS,320 mm,2,4,Disco,260 mm,2,Disco,800 mm,16 l,1.463 mm,2.080 mm,7,"103,00 mm","243,00 grados",,,Radial,,,,,,,,,,,,,,,
34,Aprilia,RS 125,N.D.,A,Deportiva,2016,www.aprilia.com,Carburador Dell ’Orto PHBH 28 mm,Automático,"54,00 mm",2T,124 cc,Gasolina sin plomo 95/98,"54,00 mm",Vertical,Láminas,Electrónico,1,,,,Líquida,,,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Aluminio,Doble brazo de aluminio,40 mm,120 mm,Horquilla telehidráulica invertida,120 mm,Amortiguador,110/70-17,"3,0-17""",150/60-17,"4,0-17""",No,320 mm,1,4,Disco,220 mm,2,Disco,805 mm,14 l,1.345 mm,1.955 mm,6,,,,,Radial,,,,,,,,,,,,,,,
35,Aprilia,RS 50,3.499 €,A1,Deportiva,2016,www.aprilia.com,"Carburador Dell ’Orto PHVA -17, 5 mm",Automático,"40,00 mm",2T,49 cc,Gasolina sin plomo 95/98,"39,00 mm",Vertical,Láminas,Electrónico CDI,1,,,,Líquida,,,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,,Doble brazo de aluminio,40 mm,120 mm,Horquilla hidráulica invertida,110 mm,Amortiguador,110/80-17,"2,75-17""",130/70-17,"3,50-17""",No,300 mm,1,2,Disco flotante,180 mm,2,Disco,810 mm,13 l,1.310 mm,1.965 mm,6,,,Paioli,,Radial,,,,,,,,,,,,,,,
36,Aprilia,RS4 125,4.692 €,A1,Deportiva,2016,http://spain.aprilia.com/,Carburador,Automático,"47,00 mm",4T,124 cc,Gasolina sin plomo 95/98,"58,00 mm",Vertical,DOHC,Electrónico CDI,1,4,11 nm,15 cv,Líquida,8.250 rpm,10.500 rpm,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Aluminio,Doble brazo,41 mm,110 mm,Horquilla telescópica invertida,130 mm,Amortiguador,100/80-17,"2,75-17""",130/70-17,"3,50-17""",No,300 mm,1,4,Disco,218 mm,1,Disco,820 mm,15 l,1.350 mm,1.953 mm,6,,,Paioli,,Radial,,,,,,,,,,,,,,,
37,Aprilia,RS4 50,4.099 €,AM,Deportiva,2016,www.aprilia.com,"Carburador Dell Orto PHVA 17,5",Automático,"40,00 mm",2T,49 cc,Gasolina sin plomo 95/98,"39,86 mm",Vertical,Láminas,Electrónico CDI,1,,,,Líquida,,,Multidisco en baño de aceite,Cadena,Doble viga,Mecánico,Aluminio,Doble brazo,41 mm,110 mm,Horquilla telescópica invertida,130 mm,Amortiguador,110/80-17,"2,75-17""",130/70-17,"3,50-17""",No,300 mm,1,4,Disco,218 mm,1,Disco,820 mm,15 l,1.350 mm,1.953 mm,6,,,Paioli,,Radial,,,,,,,,,,,,,,,
38,Aprilia,Caponord 1200,13.899 €,A,Trail,2016,http://spain.aprilia.com/,Inyección electrónica,Eléctrico,"67,80 mm",4T,1.197 cc,Gasolina sin plomo 95/98,"106,00 mm",En V a 90º,DOHC,Electrónico,2,4,115 nm,125 cv,Liquida,6.800 rpm,8.250 rpm,Multidisco en baño de aceite,Cadena,Multutubular de acero con secciones de aluminio,Mecánico,Acero,Doble brazo,43 mm,167 mm,Horquilla invertida,150 mm,Monoamortiguador lateral,120/70 ZR 17,,180/55-17,,ABS,320 mm,2,4,Disco,240 mm,1,Disco,840 mm,24 l,1.565 mm,2.245 mm,6,"125,00 mm","26,00 grados",Sachs,Brembo,Mnobloque,Brembo,214 kg,,Brembo,,,,,,,,,,,
39,Aprilia,RSV 4 RF,23.900 €,A,Deportiva,2016,www.aprilia.com,"Inyección electrónica con 4 cuerpos de mariposas con 8 inyectores y mando Ride by Wire. Tres mapas de motor: Race, Track, Sport",Automático,"52,30 mm",4T,999 cc,Gasolina sin plomo 95/98,"78,00 mm",En V a 65º,DOHC,"Electrónico digital Magneti Marelli, con una bujía por cilindro",4,4,115 nm,201 cv,Líquida,10.500 rpm,13.000 rpm,Multidisco antirrebote en baño de aceite,Cadena de retenes,Doble viga,Hidraúlico,Aluminio,Doble brazo asimétrico de aluminio,43 mm,120 mm,Horquilla telescópica invertida,130 mm,Monoamortiguador progresivo con botella de gas separada,120/70-17,"3,50-17""",200/55-17,"6-17""",ABS desconectable,320 mm,2,4,Disco flotante,220 mm,2,Disco,845 mm,18 l,,2.040 mm,6,"105,00 mm",,Öhlins Racing,Brembo,Radial monobloque,Brembo,180 kg,,Brembo,,,,,,,,,,,
40,Aprilia,Dorsoduro 1200,13.293 €,A,Trail,2016,www.aprilia.com,Inyección electrónica ride by wire,Automático,"67,80 mm",4T,1.197 cc,Gasolina sin plomo 95/98,"106,00 mm",En V a 90º,DOHC,Electrónico CDI,2,4,115 nm,130 cv,Líquida,7.200 rpm,8.700 rpm,Multidisco en baño de aceite,Cadena de retenes,Multitubular,Hidraúlico,Acero,Doble brazo de aluminio,43 mm,160 mm,Horquilla hidráulica invertida,155 mm,Amortiguador con carga de gas,120/70-17,"3,50-17""",180/55-17,"6-17""",ABS de serie,320 mm,2,4,Disco flotante,240 mm,1,Disco,870 mm,15 l,1.528 mm,2.248 mm,6,"118,00 mm","27,00 grados",Sachs,Brembo,Radial,Brembo,186 kg,,Brembo,,,,,,,,,,,
41,Aprilia,Variant Sport 50,1.799 €,Licencia de Ciclomotor,Scooter,2016,www.piaggio.com,"Carburador de 17,5 mm",Automatico,"39,30 mm",2t,49 cc,Gasolina sin plomo 95,"40,00 mm",,Láminas directa al carter,Electrónico inductivo con avance variable,1,,4 nm,4 cv,Aire forzado,6.000 rpm,6.500 rpm,Automático centrífugo en seco,Correa,Simple cuna de acero,Automático,Acero,Motor,32 mm,85 mm,Horquilla telescópica,76 mm,1 amortiguador,120/70-14,"14""",120/70-14,"14""",No,220 mm,1,2,De disco,140 mm,,De tambor,775 mm,7 l,1.358 mm,1.950 mm,,,,,,,,,,,,,,,,,,,,,
42,Aprilia,SR 50 R,2.819 €,AM,Scooter,2016,www.aprilia.com,Inyección directa electrónica DITECH,Automático,"39,30 mm",2T,49 cc,Gasolina sin plomo 95/98,"40,00 mm",Vertical,Láminas,Electrónico transistorizado por descarga inductiva,1,,,,Líquida,,,Automático centrífugo en seco,Correa,Simple cuna desdoblado en tubo,Automático,,"Motor, monobrazo",30 mm,90 mm,Horquilla telescópica hidraúlica,72 mm,Amortiguador,130/60-13,"3,5-13""",,"3,5-13""",No,190 mm,1,2,Disco,190 mm,2,Disco,,7 l,,1.860 mm,,,,,,,,,,,,,,,,,,,,,
43,Aprilia,RSV 4 Factory,19.599 €,A,Deportiva,2016,www.aprilia.com,Inyección electrónica con 4 cuerpos de mariposas con 8 inyectores y mando Ride by Wire,Automático,"52,30 mm",4,999 cc,Gasolina sin plomo 95/98,"78,00 mm",En V a 65º,DOHC,"Electrónico digital, con una bujía por cilindro",4,4,115 nm,180 cv,Líquida,10.000 rpm,12.500 rpm,Multidisco antirrebote en baño de aceite,Cadena de retenes,Doble viga,Hidraúlico,Aluminio,Doble brazo asimétrico en aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador con sistema progresivo y botella de gas separada y sistema progresivo APS,120/70-17,"3,50-17""",190/55-17,"6-17""",ABS,320 mm,2,4,Disco,220 mm,2,Disco,845 mm,17 l,1.424 mm,2.050 mm,6,"105,00 mm","24,00 grados",Showa,Brembo,Radial,Brembo,,,Brembo,,,,,,,,,,,
44,Aprilia,SR Motard 50,1.799 €,AM,Scooter,2016,www.aprilia.com,Carburador,Automático,"39,30 mm",2T,49 cc,Gasolina sin plomo 95/98,"40,00 mm",Horizontal,Láminas,Electrónico CDI,1,,,,Aire forzado,,,Automático centrífugo en seco,Correa,Simple cuna tubular,Automático,Acero,"Motor, monobrazo",,86 mm,Horquilla telescópica,76 mm,Amortiguador,120/70-14,"14""",120/70-14,"14""",No,220 mm,1,2,Disco,140 mm,,Tambor,775 mm,7 l,1.350 mm,1.953 mm,,,,,,,,106 kg,,,,,,,,,,,,,
45,Aprilia,SRV 850,9.999 €,A,Scooter,2016,www.aprilia.com,Inyección electrónica,Automático,"69,00 mm",4T,839 cc,Gasolina sin plomo 95/98,"88,00 mm",En V a 90º,SOHC,Electrónico de descarga inductiva y anticipación variable integrada en la central de inyección,2,4,,76 cv,Líquida,,7.750 rpm,Automático centrífugo en seco,Cadena,Doble cuna con tubos,Automático,Acero,Doble brazo de aluminio,41 mm,122 mm,Horquilla telescópica,133 mm,Amortiguador,120/70-16,"3,50-16""",160/60-15,"4,50-15""",ABS,300 mm,2,2,Disco,280 mm,2,Disco,780 mm,19 l,1.593 mm,2.237 mm,,,,,Brembo,,,249 kg,,Brembo,,,,,,,,,,,
46,Aprilia,SR Motard 125,2.399 €,A1,Scooter,2016,www.aprilia.com,Carburador,Automático,"48,60 mm",4T,124 cc,Gasolina sin plomo 95/98,"57,00 mm",Horizontal,SOHC,Electrónico CDI,1,2,8 nm,9 cv,Aire forzado,7.500 rpm,8.500 rpm,Automático centrífugo en seco,Correa,Simple cuna tubular,Automático,Acero,"Motor, monobrazo",,86 mm,Horquilla telescópica,82 mm,Amortiguador,120/70-14,"14""",120/70-14,"14""",No,220 mm,1,2,Disco,140 mm,,Tambor,775 mm,7 l,1.355 mm,1.955 mm,,,,,,,,122 kg,,,,,,,,,,,,,
